id,subject,body,label
11,Bạn đang tìm thuốc sao? Chúng tôi là nguồn cung cấp tốt nhất.,"Thật khó để cải thiện cuộc sống vật chất bằng những luật lệ tốt nhất, nhưng lại rất dễ để phá hỏng nó bởi những luật lệ tồi.

Xin lỗi nhé… : ) bạn vừa tìm thấy
trang web đơn giản và tốt nhất để mua thuốc trên mạng.
Không cần toa bác sĩ, giao hàng dễ dàng.
Riêng tư, an toàn và tiện lợi.

Thà nhìn rõ với một bảng Anh mỗi tuần còn hơn là mù mờ với cả triệu.

Chúng tôi có tất cả mọi thứ mà bạn từng muốn:
– Thuốc điều trị rối loạn cương
– Thuốc chống trầm cảm
– Thuốc giảm cân
– Và nhiều hơn nữa!
http://splicings.bombahakcx.com/3/

Kiến thức và sức mạnh của con người là một.
Chỉ có hàng chất lượng cao với giá rẻ!
Hoàn tiền 100%!

Không có chúa trời, tự nhiên tự đủ cho chính mình, không hề cần một tác giả.",spam
12,Thừa kế tài sản,"Tôi là luật sư đại diện cho một khách hàng giàu có vừa qua đời tại Nigeria.
Ông ấy để lại tài sản trị giá 20 triệu USD và muốn bạn là người thừa kế.
Vui lòng gửi thông tin cá nhân để làm thủ tục nhận tiền.",spam
13,Cập nhật phương thức thanh toán ngay!,"Netflix

Vui lòng cập nhật phương thức thanh toán ngay!

Kính gửi Người dùng,

Xin lỗi vì sự gián đoạn, nhưng chúng tôi đang gặp sự cố khi xác thực phương thức thanh toán của bạn.

Vui lòng truy cập trang thanh toán tài khoản tại [https://www.netflix.com/youraccountpayment
 [login.netflix.us]] để nhập lại thông tin thanh toán hoặc sử dụng một phương thức thanh toán khác.

Khi bạn hoàn tất, chúng tôi sẽ cố gắng xác minh lại tài khoản của bạn.

Nếu vẫn không được, bạn cần liên hệ với công ty phát hành thẻ tín dụng của mình.

Để bảo vệ thông tin của khách hàng, hệ thống của chúng tôi đã tạm thời hạn chế tài khoản của bạn cho đến khi thanh toán được xác thực.

Bạn có thể xác minh thông tin của mình bằng cách nhấp vào liên kết trên hoặc dưới đây, thao tác này chỉ mất vài phút và chức năng tài khoản của bạn sẽ được khôi phục đầy đủ.

Đăng nhập tài khoản [login.netflix.us]

Nếu bạn có bất kỳ câu hỏi nào, chúng tôi sẵn sàng hỗ trợ. Vui lòng gọi 0800-917812.",spam
14,"Cuộc gọi hội nghị / chất lượng tốt nhất / chỉ 0,18 USD mỗi phút!","– Không phí cài đặt
– Không hợp đồng hay phí hàng tháng
– Gọi bất cứ lúc nào, từ bất kỳ đâu, đến bất kỳ nơi nào
– Kết nối tối đa 100 người tham gia
– Cài đặt và quản lý cực kỳ đơn giản
– Hỗ trợ tổng đài viên 24/7

👉 Dịch vụ CHẤT LƯỢNG CAO nhất với MỨC GIÁ THẤP nhất trong ngành!

Hãy điền vào mẫu dưới đây để biết cách giảm hóa đơn điện thoại của bạn mỗi tháng:

Họ tên*

Địa chỉ web

Tên công ty*

Bang*

Điện thoại công ty*

Điện thoại nhà

Email*

Loại hình kinh doanh

Để gỡ bạn khỏi danh sách phân phối, vui lòng nhấn vào đây.",spam
15,Thông báo trúng thưởng,"
Xin chúc mừng! Bạn đã trúng thẻ quà tặng trị giá 1500 đô la. Nhấp vào đây để nhận giải thưởng www.specialgift2022.com",spam
16,Ưu đãi truyền hình cab,"Muốn xem sự kiện thể thao? – Phim? – Pay-Per-View??
Bạn có thể tự lắp ráp từ linh kiện điện tử chỉ với 12 USD!

Chúng tôi gửi cho bạn:

Hướng dẫn lắp ráp cực dễ theo dõi

Bản vẽ gốc dễ đọc

Danh sách linh kiện điện tử

Kèm theo BÁO CÁO MỚI NHẤT: Cách sử dụng bộ giải mã TV HỢP PHÁP

⚠️ Cảnh báo: Đừng lắp descrambler trước khi đọc báo cáo này!",spam
17,Tham gia ngay để giành nhiều lợi ích sớm,"Chúng tôi vô cùng phấn khích với một mã cổ phiếu sắp bùng nổ:
Montana Oil and Gas, Inc. (MOGI) – công ty phát triển năng lượng đang mở rộng cơ hội tại Alberta, Canada, một trong những mỏ dầu khí được săn đón nhất.

📈 Lý do để theo dõi MOGI:

Biểu đồ giá xác nhận: dầu đang trong thị trường tăng mạnh nhất trong cả một thế hệ.
Giá khí tự nhiên đã tăng gấp ba lần trong hai năm qua.
Với nhiều dự án đang tăng tốc, tiềm năng sản xuất trị giá hàng triệu đô la, nhưng cổ phiếu MOGI đang được bán với giá chỉ bằng 1/4 giá trị tài sản.
Montana Oil and Gas áp dụng công nghệ mới để biến các mỏ dầu khí kém hiệu quả thành doanh nghiệp sinh lợi.

🔔 Tin nóng: Montana Oil and Gas vừa công bố cập nhật dự án Sylvan Lake. Sau nhiều trì hoãn vì thời tiết và đường sá, giàn khoan đã chính thức được đưa vào vị trí và bắt đầu khoan thử nghiệm.

Mã cổ phiếu: MOGI
Giá hiện tại: $0.26
Lợi ích: Công ty có 25% quyền lợi trong dự án Sylvan Lake.

Các nhà đầu tư năng động chắc chắn sẽ muốn chú ý đến MOGI trong sáng nay!",spam
18,"Cổ phiếu thấp, lợi nhuận cao","📊 Báo cáo cổ phiếu nóng hổi!
Đừng bỏ lỡ mã này – GGTS đang cực hot!

Công ty: Gaming Transactions Inc.
Mã cổ phiếu: GGTS
Giá hiện tại: $0.30
Khuyến nghị: Mua mạnh
Mục tiêu ngắn hạn: $0.45
Mục tiêu dài hạn: $1.00

🚨 Tin nóng về GGTS:
Gaming Transactions Inc., nhà cung cấp dịch vụ quản lý cổng game online, vừa công bố ra mắt cổng game độc quyền Keno.com và khởi động chiến dịch marketing mạnh mẽ để khẳng định vị thế dẫn đầu trong ngành game trực tuyến.

Keno.com cho phép người chơi tham gia các trò chơi sòng bạc trực tuyến để thắng tiền thật, bắt đầu với trò Keno (80 số, rút ngẫu nhiên 20 số mỗi ván). Sắp tới sẽ có thêm bingo, poker, blackjack, slots và các game bàn khác.

Ông Patrick Smyth – CEO – nhấn mạnh rằng hệ thống được phát triển với giao diện thân thiện, không tốn thời gian tải, cùng hệ thống giao dịch bảo mật nhiều lớp. Công ty đã đầu tư mạnh để kiểm thử phần mềm và sử dụng nhóm người dùng thử nhằm đảm bảo trải nghiệm “sang trọng” cho khách hàng.

Kết luận: Đây là cơ hội vàng cho các nhà đầu tư mạo hiểm muốn “nhảy sóng” và hưởng lợi từ sự bùng nổ của ngành game trực tuyến.",spam
19,Xác nhận địa chỉ và thông tin,"Gói hàng của bạn đang chờ giao. Vui lòng cung cấp thông tin cá nhân để xác nhận việc giao hàng , bấm vào link để xác nhận thông tin và địa chỉ giao hàng : https://j@texpress.acp.com",spam
20,Thông báo trúng thưởng,Xin chúc mừng! Bạn đã trúng thẻ quà tặng trị giá 15000 đô la. Nhấp vào đây để nhận giải thưởng www.specialgift2021.com,spam
21,Thông báo trúng thưởng,Xin chúc mừng! Bạn đã trúng thẻ quà tặng trị giá 1000 đô la. Nhấp vào đây để nhận giải thưởng www.specialgift2024.com,spam
22,Cảnh báo xâm phạm,"Jordan thân mến, tài khoản của bạn đã bị xâm phạm. Hãy nhấp vào liên kết để đặt lại mật khẩu ngay lập tức https://gmaiI.resetpassword.com",spam
23,Ngân hàng,Bạn có một tin nhắn bảo mật mới từ ngân hàng. Nhấp vào đây để đọc ,spam
24,Phần mềm giá rẻ,"Microsoft Windows XP Professional 2002
Giá gốc: $270.99 – Giá của chúng tôi: $50.00 – Tiết kiệm: $220.00

Adobe Photoshop 7.0
Giá gốc: $609.99 – Giá của chúng tôi: $60.00 – Tiết kiệm: $550.00

Microsoft Office XP Professional 2002
Giá gốc: $579.99 – Giá của chúng tôi: $60.00 – Tiết kiệm: $510.00

Adobe Illustrator 10
Giá gốc: $270.99 – Giá của chúng tôi: $60.00 – Tiết kiệm: $210.00

Corel Draw Graphics Suite 11
Giá gốc: $270.99 – Giá của chúng tôi: $60.00 – Tiết kiệm: $210.00

Delphi 7
Giá gốc: $404.99 – Giá của chúng tôi: $60.00 – Tiết kiệm: $335.00

… và còn nhiều hơn nữa!

💡 Tại sao lại rẻ như vậy?
Tất cả phần mềm đều là bản OEM, nghĩa là bạn sẽ không nhận hộp hay sách hướng dẫn. Những gì bạn nhận được là phần mềm chính thức + mã đăng ký riêng.

✔ Toàn bộ phần mềm đều là bản tiếng Anh cho PC.
✔ Chúng tôi luôn cập nhật giá để đảm bảo mang đến cho bạn ưu đãi tốt nhất.
✔ Hãy nhanh tay đặt hàng vì số lượng có hạn!

👉 Truy cập ngay: http://cheap-drugs-here.biz/oeol7/?affiliate_id=233763&campaign_id=601",spam
25,Cảnh báo bảo mật trên Microsoft Internet Explorer,"Kính gửi Quý khách hàng SunTrust Bank,

Để mang đến cho khách hàng khả năng truy cập tài khoản trực tuyến hiệu quả và an toàn nhất, chúng tôi liên tục nâng cấp dịch vụ online. Khi bổ sung các tính năng và cải tiến mới, sẽ có một số phiên bản trình duyệt không còn hỗ trợ hệ thống nâng cấp này.

Như nhiều khách hàng đã biết, Microsoft Internet Explorer tồn tại nhiều “lỗ hổng” bảo mật mà tin tặc có thể dễ dàng lợi dụng.

Để bảo vệ tài khoản của quý khách tốt hơn, chúng tôi đã đưa ra các tiêu chuẩn và yêu cầu bảo mật mới cho trình duyệt. Hệ thống bảo mật SunTrust yêu cầu quý khách kiểm tra trình duyệt ngay bây giờ để đảm bảo đáp ứng các yêu cầu Internet Banking.

👉 Vui lòng đăng nhập vào Internet Banking để xác minh việc cài đặt bản cập nhật bảo mật.

Bản cập nhật này sẽ có hiệu lực ngay lập tức. Trong thời gian này, một số dịch vụ ngân hàng trực tuyến có thể tạm thời không khả dụng.

Trân trọng,
SunTrust Internet Banking
© 2004 SunTrust",spam
26,Tải ngay 1000+ phần mềm phổ biến!,"🔥 Hơn 1472 phần mềm cho bạn lựa chọn từ A–Z, tải về ngay lập tức!

Nếu bạn không có đủ tiền để mua phần mềm cần thiết, hoặc nghĩ rằng phần mềm bạn muốn không xứng với giá bán, thì dịch vụ này chính là dành cho bạn.

⚡ Tải phần mềm trực tiếp từ website của chúng tôi với kết nối siêu tốc 100 Mb/s.

… ngày mai nóng bỏng, những lời chỉ trích, đôi tai đầy nguy hiểm, tháng ngày giải trí, tất cả cùng hòa chung một câu trả lời.",spam
27,Thông báo về khoản thừa kế,"Người gửi: Dr. Abdul Kareem
Kareem Co. (Luật sư & Tư vấn pháp lý)
Số 34 Akin Osiyemi, Ikeja - Lagos, Nigeria
Tel: 234-80-33792343
Email: ab_karol@fastermail.com

Kính gửi,

Theo ủy quyền từ các quản lý và người thi hành di chúc của cố Sir Engr. John Scott (KSM), tôi xin thông báo rằng quý vị được liệt kê là người thụ hưởng khoản thừa kế trị giá 3.100.000 USD (ba triệu một trăm nghìn đô la Mỹ) trong bản di chúc và bổ sung cuối cùng của ông.

Ngài John Scott – nguyên là Giám đốc điều hành kiêm nhân viên tiên phong của một tập đoàn xây dựng lớn (Julius Berger) tại Nigeria – đã qua đời ngày 9/2/2002, hưởng thọ 68 tuổi, và được an táng ngày 23/2. Dù là công dân Mỹ sinh sống tại Nigeria, ông từng bày tỏ nguyện vọng được an nghỉ tại đây, coi nơi này là quê hương của mình. Trong di nguyện, ông để lại khoản tiền này nhằm hỗ trợ cho công việc mục vụ và giúp đỡ những người kém may mắn.

Chúng tôi kính đề nghị quý vị gửi kèm:

Giấy tờ tùy thân
Số điện thoại và fax hiện tại
Địa chỉ liên lạc

Xin gửi thông tin trên về hòm thư cá nhân (ab_karol@fastermail.com) để chúng tôi nộp hồ sơ tại Tòa án Tối cao – Phòng Thẩm định Di chúc nhằm giải ngân khoản thừa kế này.

Xin chúc mừng.

Trân trọng,
Dr. Abdul Kareem (SAN)",spam
28,Nhận Laptop Dell MIỄN PHÍ ,"Chúc mừng! Bạn đã được chọn để nhận một máy tính xách tay Dell hoàn toàn miễn phí.

Đây là cơ hội đặc biệt chỉ dành riêng cho những người được mời qua email này.
✔ Không cần mua hàng trước
✔ Không cần thẻ tín dụng
✔ Hoàn toàn miễn phí – chúng tôi lo chi phí vận chuyển

Hãy là một trong những người đầu tiên xác nhận để đảm bảo phần quà của bạn!
👉 Nhấp vào liên kết dưới đây để đăng ký và yêu cầu ngay laptop Dell của bạn:

[Nhấn vào đây để nhận Dell Laptop MIỄN PHÍ]

Số lượng có hạn, khi hết quà tặng chương trình sẽ kết thúc ngay lập tức.

Đừng bỏ lỡ – cơ hội sở hữu laptop Dell miễn phí chỉ đến một lần!

Trân trọng,
Dell Giveaway Team",spam
29,Ưu đãi bộ CabbleFilterz ngay hôm nay!!!!,"Emile,

Bộ CableFilterz sẽ cho phép bạn truy cập tất cả các kênh mà bạn muốn chỉ bằng điều khiển từ xa:
✔ Pay-Per-View
✔ Phim người lớn
✔ Sự kiện thể thao trực tiếp
✔ Các chương trình đặc biệt

Đừng bỏ lỡ! Nhấn vào liên kết ngay bây giờ để sở hữu:
👉 http://www.8006hosting.com/cable/

Nhanh tay, số lượng thiết bị có hạn!

Trân trọng,
CableFilterz Team",spam
30,"Photoshop, Windows, Office — tất cả đều có giá rẻ bất ngờ!","Đừng bỏ lỡ cơ hội sở hữu những phần mềm nổi tiếng nhất với mức giá thấp hơn nhiều so với cửa hàng:
✔ Adobe Photoshop
✔ Microsoft Windows
✔ Microsoft Office

Nhanh tay truy cập ngay hôm nay để tải về và tiết kiệm hàng trăm đô la!",spam
31,"Thuốc rẻ , chất lượng cao!","Bạn vừa tìm thấy trang web đơn giản và tốt nhất để mua thuốc trên mạng.

Không cần đơn thuốc

Giao hàng dễ dàng

Riêng tư, an toàn và tiện lợi

“Thà nhìn rõ với một đồng bảng mỗi tuần còn hơn là nheo mắt với cả triệu.”

Chúng tôi có mọi thứ bạn cần:

Thuốc chống trầm cảm

Thuốc giảm cân

Và nhiều hơn nữa!

👉 http://splicings.bombahakcx.com/3/

“Kiến thức và sức mạnh con người là đồng nghĩa.”

Chỉ cung cấp sản phẩm chất lượng cao với giá thấp!
Đảm bảo hoàn tiền 100%!",spam
32,VCSC – cổ phiếu mới cần chú ý,"Vocalscape Inc – Mã chứng khoán: VCSC

VCSC sẽ là cổ phiếu được chọn hàng đầu trong tháng 4, dự đoán sẽ tăng lên mức 12 cent

Cổ phiếu vừa chạm mức thấp nhất mọi thời đại và sẽ bật lại

Trong vòng 5 ngày tới, cổ phiếu dự kiến sẽ bùng nổ – hãy theo dõi nó tăng mạnh

Xem cổ phiếu tăng vọt trong tuần này và tuần tới
Tin nóng: Vocalscape Inc. thông báo đạt thỏa thuận phân phối lại dịch vụ Mix Network

Giá hiện tại: $0.025

Dự đoán giá đầu cơ trong 5 ngày tới: $0.12

Dự đoán giá đầu cơ trong 15 ngày tới: $0.15",spam
33,Phần mềm rẻeeeee!!,"Microsoft Windows XP Professional 2002
Giá bán lẻ: $270.99 — Giá của chúng tôi: $50.00 → Bạn tiết kiệm: $220.00

Adobe Photoshop 7.0
Giá bán lẻ: $609.99 — Giá của chúng tôi: $60.00 → Bạn tiết kiệm: $550.00

Microsoft Office XP Professional 2002
Giá bán lẻ: $579.99 — Giá của chúng tôi: $60.00 → Bạn tiết kiệm: $510.00

Adobe Illustrator 10
Giá bán lẻ: $270.99 — Giá của chúng tôi: $60.00 → Bạn tiết kiệm: $210.00

Corel Draw Graphics Suite 11
Giá bán lẻ: $270.99 — Giá của chúng tôi: $60.00 → Bạn tiết kiệm: $210.00

Delphi 7
Giá bán lẻ: $404.99 — Giá của chúng tôi: $60.00 → Bạn tiết kiệm: $335.00

Và còn nhiều nữa!!!

Tại sao lại rẻ thế?

Tất cả phần mềm đều là dạng OEM — nghĩa là bạn không nhận được hộp và sách hướng dẫn.

Bạn sẽ nhận được phần mềm và mã đăng ký duy nhất của mình.

Tất cả phần mềm đều bằng tiếng Anh cho PC.

Giá của chúng tôi không thể bị đánh bại và luôn được cập nhật để đảm bảo bạn nhận được ưu đãi tốt nhất.

👉 Nhanh tay đặt hàng ngay vì số lượng có hạn.

Truy cập ngay:
http://cheap-drugs-here.biz/oeol7/?affiliate_id=233763&campaign_id=601",spam
34,Bạn nên đầu tư cổ phiếu này? ,"Yap International, Inc. (YPIL)

Công nghệ VoIP của họ không cần máy tính hay kết nối internet tốc độ cao cho sản phẩm quay số.

Giá hiện tại: 0,23 USD
Hãy chú ý cổ phiếu này vào thứ Năm! Một số cổ phiếu VoIP nhỏ gần đây đã thực sự biến động mạnh. Và khi chúng bắt đầu tăng, chúng có thể tăng 100%, 200% hoặc hơn nữa – điều này không hiếm.

Tin nóng!
Yap International Inc. (YPIL) hôm nay thông báo đã ký thỏa thuận tư vấn 24 tháng với Securities Trading Services Inc. (STS) ở Geneva, Thụy Sĩ. Theo thỏa thuận, STS sẽ hỗ trợ Yap International tiếp cận nguồn vốn cổ phần và nợ để thúc đẩy kế hoạch kinh doanh liên quan đến công nghệ VoIP độc quyền của công ty.
Kết quả của thỏa thuận này, Yap International đang hướng tới khoản tài trợ cầu nối 500.000 USD dưới dạng nợ, vốn cổ phần hoặc kết hợp cả hai. Khoản vốn này chủ yếu được dùng để thanh toán bản quyền và lắp ráp thêm thiết bị nhằm thử nghiệm với nhiều nhà cung cấp dịch vụ internet, làm cơ sở cho các hợp đồng thương mại.                                                                                                                                                                  Lưu ý pháp lý và rủi ro đầu tư:
Bản tin này chứa các tuyên bố dự báo tương lai theo quy định tại Đạo luật Chứng khoán Mỹ (1933) và Đạo luật Giao dịch Chứng khoán (1934). Những tuyên bố này chỉ là dự đoán và có thể khác xa so với thực tế do nhiều rủi ro: lịch sử hoạt động hạn chế, thua lỗ, nhu cầu vốn bổ sung, cạnh tranh gay gắt, biến động giá cổ phiếu, khả năng phá sản, v.v.
Nhà phát hành bản tin không đưa ra lời khuyên đầu tư, chỉ cung cấp thông tin. Bạn có thể mất toàn bộ số tiền đầu tư vào cổ phiếu này.
Ngoài ra, nhà phát hành tiết lộ rằng họ nhận được 15.000 USD từ bên thứ ba để viết bản báo cáo này, do đó có xung đột lợi ích.

Nếu bạn không muốn nhận email nữa, hãy liên hệ: jeff2005@fastmail.fm",spam
35,VỐN! VỐN!!!!!,"Như bạn biết, mùa bầu cử không phải là thời điểm tốt cho nền kinh tế.
Nền kinh tế đang trong tình trạng rất bất ổn, như bạn có thể thấy giá xăng đang tăng cùng với lãi suất thế chấp.
Một khi lãi suất tăng, bạn sẽ không còn cơ hội tiết kiệm tiền trong một thời gian rất dài.

👉 Đây là cơ hội cuối cùng của bạn. Hãy tái cấp vốn (refinance) với mức 4.2 điểm ngay!
http://www.fintod.com/",spam
36,Lịch trình mới!,"Kính gửi Quý anh/chị,

Chúng tôi xin thông báo về lịch trình mới, cụ thể như sau:

Buổi sáng: Bắt đầu lúc 8:00 sáng với cuộc họp nhóm.

Buổi chiều: Làm việc dự án và trao đổi với khách hàng.

Buổi tối: Hoàn thành báo cáo và tổng kết trước 18:00.

Nếu Quý anh/chị có thắc mắc hoặc cần điều chỉnh, vui lòng liên hệ:
📞 Điện thoại: +359-716-9493
📱 Di động: +608-244-1895
✉️ Email: zoomssparking@speedy.net.pe

Xin cảm ơn sự hợp tác của Quý anh/chị.",spam
